active_indices,spoke_counts,sdp_t,sdp_lambda_min,sdp_log_product,sdp_gap,de_failed,de_lambda_min,de_log_product,de_converged
1 2 3 4 5 6 8 9 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00794108,0.00284548,-23.475562,5.096e-03,True,,,False
1 2 3 4 5 7 8 10 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00695954,0.00061382,-21.282429,6.346e-03,False,0.00504246,-20.971536,False
1 2 3 4 5 7 8 9 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00691520,0.00042755,-22.833527,6.488e-03,True,,,False
1 2 3 4 6 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00733034,0.00017198,-23.070382,7.158e-03,False,0.00357102,-22.749587,False
1 2 3 5 6 7 8 9 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00937438,0.00874798,-17.746887,6.264e-04,False,0.00904768,-19.125424,False
1 2 3 4 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00856766,0.00856766,-15.906207,-7.732e-11,False,0.00856748,-15.939706,False
1 2 3 5 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00295595,0.00004495,-28.481464,2.911e-03,False,0.00289701,-21.582215,False
1 2 3 4 6 7 8 9 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00822937,0.00009706,-23.122079,8.132e-03,True,,,False
1 2 3 5 6 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00794108,0.00284550,-23.475665,5.096e-03,False,0.00672064,-21.828980,False
1 2 3 4 6 7 8 10 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00662126,0.00031611,-31.350261,6.305e-03,False,0.00407420,-21.632723,False
1 2 3 5 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00691520,0.00042719,-22.834254,6.488e-03,False,0.00673330,-18.985152,False
1 2 3 5 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00822938,0.00009073,-23.189361,8.139e-03,True,,,False
1 2 4 5 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00426086,0.00040847,-21.445833,3.852e-03,False,0.00336990,-20.046830,False
1 2 4 5 6 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00664779,0.00005381,-26.176522,6.594e-03,False,0.00161379,-26.289493,False
1 2 3 5 6 7 8 10 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00790426,0.00075077,-24.213870,7.153e-03,True,,,False
1 2 4 5 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00695954,0.00061369,-21.283207,6.346e-03,False,0.00505346,-21.168019,False
1 2 3 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00645360,0.00047622,-25.509205,5.977e-03,True,,,False
1 3 4 5 6 7 8 9 10,"O-M:1,O-B:3,O-N:3,O-A:2",0.00294213,0.00294213,-20.028557,-1.478e-09,False,0.00294113,-19.303913,False
1 2 4 5 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00662126,0.00031589,-31.350336,6.305e-03,False,0.00312816,-20.768676,False
1 2 4 5 6 7 8 10 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00000000,0.00000000,-inf,0.000e+00,True,,,False
1 2 4 5 6 7 8 9 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00790426,0.00075100,-24.214256,7.153e-03,True,,,False
1 3 4 5 6 8 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00273116,0.00187871,-20.437701,8.525e-04,False,0.00273116,-15.440295,False
1 3 4 5 7 8 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00453847,0.00408880,-18.952586,4.497e-04,False,0.00453847,-14.752413,False
1 3 4 5 6 7 8 10 11,"O-M:1,O-B:3,O-N:3,O-A:2",0.00418911,0.00102180,-23.311322,3.167e-03,False,0.00412393,-22.016251,False
1 2 4 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00693866,0.00003190,-24.030542,6.907e-03,True,,,False
1 2 5 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00741716,0.00070638,-25.052268,6.711e-03,False,0.00574703,-22.355114,False
1 3 4 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00294213,0.00294213,-20.024353,-1.641e-09,False,0.00294145,-18.864816,False
2 3 4 5 6 7 8 9 10,"O-M:1,O-B:3,O-N:3,O-A:2",0.00395080,0.00395080,-17.933530,-6.391e-10,False,0.00395076,-17.906124,False
1 3 4 5 6 7 8 9 11,"O-M:1,O-B:3,O-N:3,O-A:2",0.00402389,0.00000633,-26.091509,4.018e-03,True,,,False
2 3 4 5 6 7 8 9 11,"O-M:1,O-B:3,O-N:3,O-A:2",0.00349857,0.00022181,-25.160517,3.277e-03,False,0.00348996,-23.292071,False
1 4 5 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00418911,0.00102183,-23.311436,3.167e-03,False,0.00412001,-21.634722,False
2 3 4 5 6 7 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00125653,0.00092512,-31.683260,3.314e-04,False,0.00125647,-30.330097,False
1 3 4 5 6 7 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00000000,0.00000000,-inf,0.000e+00,True,,,False
2 3 4 5 6 8 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00529246,0.00529246,-19.895084,-3.326e-10,False,0.00529245,-17.690212,False
2 3 4 5 7 8 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00256567,0.00256567,-17.759860,-4.312e-10,False,0.00256567,-16.549652,False
2 3 4 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00395080,0.00395080,-17.933448,-7.713e-10,False,0.00395069,-17.921987,False
3 4 5 6 7 8 9 10 11,"O-M:0,O-B:3,O-N:3,O-A:3",0.00474037,0.00474037,-16.612302,-5.682e-10,False,0.00474037,-16.608974,False
1 3 5 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00402389,0.00000632,-26.101308,4.018e-03,True,,,False
2 3 4 5 6 7 8 10 11,"O-M:1,O-B:3,O-N:3,O-A:2",0.00434362,0.00035977,-22.447608,3.984e-03,True,,,False
2 3 5 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00349857,0.00022226,-25.158358,3.276e-03,True,,,False
2 4 5 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00434362,0.00035975,-22.449543,3.984e-03,True,,,False
